customer_id,tenure_months,monthly_spend,contract_type,product_plan,payment_method,late_payments_6m,support_tickets_3m,complaints_6m,average_weekly_usage_hours,days_since_last_login,satisfaction_score,auto_renew,churned
CUST-1928,8,147.66,Month-to-Month,Premium,Electronic Check,0,1,3,23.6,25,2,0,1
CUST-1863,28,95.82,Month-to-Month,Premium,Credit Card,0,5,0,45.1,16,4,0,0
CUST-1031,39,57.3,Two-Year,Premium,Electronic Check,0,3,0,31.4,25,5,1,0
CUST-1974,40,108.93,Two-Year,Premium,Credit Card,0,4,0,39.5,25,5,1,0
CUST-1894,1,60.49,Month-to-Month,Standard,Bank Transfer,0,4,0,25.3,22,4,0,0
CUST-1058,12,81.1,Month-to-Month,Standard,Electronic Check,0,1,0,28.4,9,4,0,0
CUST-1679,12,87.8,Month-to-Month,Premium,Bank Transfer,0,0,0,19.0,23,5,0,0
CUST-1339,6,95.54,One-Year,Standard,Bank Transfer,0,0,0,21.0,21,1,1,0
CUST-1023,63,52.65,One-Year,Basic,Mailed Check,2,0,0,26.2,8,5,0,0
CUST-1683,13,63.07,One-Year,Premium,Credit Card,4,1,0,30.1,27,3,1,0
CUST-1467,63,107.37,Two-Year,Standard,Credit Card,0,3,0,24.4,3,4,1,0
CUST-1008,15,39.87,Month-to-Month,Premium,Mailed Check,0,3,0,49.9,16,5,1,0
CUST-1066,69,69.4,Two-Year,Premium,Mailed Check,0,0,0,20.9,21,5,1,0
CUST-1911,49,25.47,One-Year,Premium,Credit Card,0,0,0,21.1,18,5,0,0
CUST-1206,34,41.71,Month-to-Month,Premium,Electronic Check,0,0,0,13.1,25,4,0,0
CUST-1501,24,24.66,One-Year,Basic,Mailed Check,3,3,0,39.6,17,2,0,0
CUST-1624,62,57.84,One-Year,Basic,Bank Transfer,0,1,0,2.3,23,5,0,0
CUST-1664,56,67.92,Two-Year,Basic,Mailed Check,0,1,0,8.7,18,5,1,0
CUST-1806,63,97.14,One-Year,Basic,Mailed Check,0,3,0,33.9,24,5,1,0
CUST-1593,14,112.63,One-Year,Basic,Electronic Check,0,4,0,26.0,12,2,1,0
CUST-1609,44,23.86,One-Year,Standard,Mailed Check,3,0,0,30.6,0,2,1,0
CUST-1790,15,113.11,Month-to-Month,Standard,Mailed Check,0,0,0,39.7,23,3,0,1
CUST-1495,56,131.32,Two-Year,Basic,Electronic Check,0,1,0,17.5,39,5,1,0
CUST-1173,32,94.35,Month-to-Month,Premium,Mailed Check,0,2,0,30.7,2,5,0,0
CUST-1478,39,149.51,Two-Year,Basic,Credit Card,3,4,0,12.4,18,4,1,0
CUST-1145,35,144.02,One-Year,Premium,Credit Card,0,2,0,14.4,3,5,0,0
CUST-1108,37,50.89,One-Year,Basic,Bank Transfer,0,4,0,6.2,28,4,0,0
CUST-1425,23,63.62,Month-to-Month,Standard,Bank Transfer,0,1,0,23.0,14,5,1,0
CUST-1505,37,62.01,One-Year,Premium,Credit Card,0,4,0,27.2,5,4,1,0
CUST-1824,1,60.45,One-Year,Standard,Credit Card,0,4,0,5.3,29,1,0,1
CUST-1473,61,81.87,One-Year,Premium,Credit Card,0,3,0,26.4,21,5,1,0
CUST-1153,25,141.86,One-Year,Basic,Credit Card,0,3,0,37.6,37,4,1,0
CUST-1370,59,135.39,Two-Year,Standard,Credit Card,0,3,0,17.0,30,5,1,0
CUST-1235,11,106.86,One-Year,Standard,Bank Transfer,0,3,0,17.9,17,4,1,0
CUST-1949,50,80.26,Two-Year,Standard,Mailed Check,0,4,0,10.2,6,5,0,0
CUST-1736,23,54.49,One-Year,Standard,Electronic Check,0,3,0,12.5,47,3,0,1
CUST-1472,23,92.37,One-Year,Premium,Bank Transfer,0,1,0,26.8,24,4,0,0
CUST-1995,6,105.36,Month-to-Month,Premium,Electronic Check,0,1,0,12.9,8,2,0,1
CUST-1100,40,92.66,Two-Year,Standard,Bank Transfer,0,5,0,36.7,2,5,1,0
CUST-1024,15,29.78,One-Year,Basic,Credit Card,0,4,0,18.3,1,1,0,1
CUST-1528,57,110.67,Two-Year,Standard,Bank Transfer,3,0,0,16.8,23,3,1,0
CUST-1849,50,53.24,One-Year,Premium,Credit Card,0,4,0,15.2,23,5,1,0
CUST-1539,40,92.94,One-Year,Premium,Credit Card,0,4,0,40.8,30,5,1,0
CUST-1925,7,112.57,Month-to-Month,Premium,Credit Card,0,0,0,32.1,23,2,0,0
CUST-1605,50,71.7,Two-Year,Basic,Bank Transfer,0,1,0,11.6,9,5,0,0
CUST-1157,60,138.92,Two-Year,Standard,Mailed Check,0,1,0,11.7,10,5,1,0
CUST-1879,72,31.44,One-Year,Standard,Electronic Check,0,2,0,7.3,24,5,0,0
CUST-1290,71,79.96,Two-Year,Basic,Electronic Check,6,2,0,24.1,30,3,1,0
CUST-1459,29,128.1,One-Year,Premium,Credit Card,2,0,0,47.1,15,4,0,0
CUST-1575,36,44.78,One-Year,Basic,Electronic Check,0,7,2,30.8,0,2,0,1
CUST-1862,21,93.79,One-Year,Standard,Mailed Check,0,1,0,28.4,4,4,1,0
CUST-1953,13,122.31,Month-to-Month,Basic,Credit Card,0,0,0,5.4,29,2,0,1
CUST-1355,56,57.67,Two-Year,Basic,Bank Transfer,0,3,0,3.9,12,5,1,0
CUST-1453,35,73.89,One-Year,Standard,Bank Transfer,0,3,0,20.6,26,5,1,0
CUST-1709,27,109.35,One-Year,Standard,Mailed Check,0,1,0,36.3,21,4,1,0
CUST-1693,36,72.66,One-Year,Premium,Mailed Check,0,4,0,45.9,5,5,1,0
CUST-1170,49,76.14,Two-Year,Premium,Mailed Check,0,4,0,21.4,2,5,0,0
CUST-1347,25,45.11,One-Year,Basic,Bank Transfer,0,4,0,6.0,20,5,0,0
CUST-1513,51,124.6,One-Year,Basic,Bank Transfer,0,7,1,10.0,20,3,0,0
CUST-1661,32,148.64,Month-to-Month,Premium,Credit Card,0,7,1,48.0,28,3,1,0
CUST-1987,28,39.79,Month-to-Month,Premium,Electronic Check,0,2,0,18.1,6,5,0,0
CUST-1937,38,20.62,One-Year,Premium,Electronic Check,0,3,0,26.1,26,4,1,0
CUST-1146,40,109.74,Two-Year,Standard,Electronic Check,0,1,0,20.2,14,5,1,0
CUST-1326,35,98.7,One-Year,Standard,Mailed Check,0,2,0,21.8,14,4,1,0
CUST-1093,56,96.55,Two-Year,Basic,Mailed Check,0,5,0,14.7,5,,1,0
CUST-1866,5,71.8,Month-to-Month,Standard,Credit Card,0,4,0,22.4,2,1,0,1
CUST-1958,11,66.11,Month-to-Month,Basic,Mailed Check,0,2,0,9.3,8,1,0,1
CUST-1180,29,77.95,One-Year,Standard,Bank Transfer,0,0,0,13.2,29,5,1,0
CUST-1291,25,61.31,One-Year,Standard,Electronic Check,0,1,0,15.9,10,4,1,0
CUST-1266,2,103.64,Month-to-Month,Premium,Mailed Check,4,1,0,24.2,10,3,0,0
CUST-1811,33,81.37,Month-to-Month,Standard,Bank Transfer,0,5,0,2.4,13,4,1,0
CUST-1904,40,47.14,Two-Year,Premium,Credit Card,4,3,0,43.3,24,4,0,0
CUST-1279,24,145.12,One-Year,Premium,Credit Card,0,3,0,22.0,5,3,1,0
CUST-1875,1,119.09,Month-to-Month,Basic,Mailed Check,0,1,0,31.1,0,2,0,1
CUST-1583,63,79.83,Two-Year,Basic,Credit Card,0,3,0,34.0,25,4,1,0
CUST-1623,25,111.14,One-Year,Standard,Credit Card,0,4,0,4.1,29,5,1,0
CUST-1529,40,87.77,Two-Year,Basic,Credit Card,0,7,1,31.4,23,1,0,0
CUST-1414,28,143.56,One-Year,Basic,Credit Card,6,4,0,31.0,20,2,0,1
CUST-1276,19,129.12,One-Year,Standard,Bank Transfer,0,0,0,19.2,19,5,0,0
CUST-1061,15,79.99,Month-to-Month,Premium,Bank Transfer,0,5,0,38.8,13,4,0,0
CUST-1323,21,27.8,One-Year,Standard,Credit Card,0,2,0,15.7,17,3,1,0
CUST-1469,52,148.38,Two-Year,Standard,Bank Transfer,4,0,0,20.9,20,2,0,0
CUST-1810,38,113.59,Two-Year,Standard,Electronic Check,0,2,0,8.3,9,5,0,0
CUST-1582,61,40.64,Two-Year,Standard,Bank Transfer,0,5,0,9.7,4,5,0,0
CUST-1171,50,61.17,One-Year,Basic,Credit Card,0,3,0,12.3,4,5,1,0
CUST-1015,7,107.54,One-Year,Basic,Credit Card,0,2,0,6.2,6,4,1,0
CUST-1587,60,28.87,Two-Year,Premium,Bank Transfer,3,3,0,44.0,5,2,1,0
CUST-1897,7,123.25,Month-to-Month,Basic,Bank Transfer,0,1,0,14.3,18,3,0,0
CUST-1268,71,20.02,One-Year,Premium,Electronic Check,0,4,0,37.5,30,4,0,0
CUST-1060,35,91.4,One-Year,Standard,Mailed Check,0,5,0,11.1,5,5,1,0
CUST-1117,47,67.08,Two-Year,Basic,Bank Transfer,0,2,0,31.0,18,5,1,0
CUST-1306,67,35.32,One-Year,Standard,Bank Transfer,0,2,0,6.1,13,,0,0
CUST-1756,4,101.79,One-Year,Basic,Bank Transfer,0,6,1,34.9,10,3,1,1
CUST-1646,68,86.86,One-Year,Standard,Credit Card,0,0,0,27.0,7,5,1,0
CUST-1900,59,127.91,One-Year,Premium,Electronic Check,0,2,0,28.6,30,,1,0
CUST-1205,12,140.2,Month-to-Month,Standard,Credit Card,0,5,0,8.7,0,1,0,1
CUST-1021,9,134.31,Month-to-Month,Standard,Bank Transfer,0,4,0,25.2,25,1,0,0
CUST-1927,13,60.46,Month-to-Month,Premium,Mailed Check,3,3,0,27.3,7,3,1,0
CUST-1264,46,99.48,Two-Year,Premium,Bank Transfer,4,3,0,28.7,2,2,0,0
CUST-1537,17,119.05,One-Year,Premium,Mailed Check,0,5,0,44.9,10,5,0,0
CUST-1362,41,83.01,Two-Year,Premium,Credit Card,0,4,0,33.3,38,5,1,0
CUST-1773,46,82.43,Two-Year,Basic,Mailed Check,0,0,0,25.2,10,4,1,0
CUST-1850,60,23.84,Two-Year,Premium,Bank Transfer,0,4,0,49.8,0,5,0,0
CUST-1830,5,61.91,Month-to-Month,Premium,Electronic Check,0,0,0,30.1,10,1,0,1
CUST-1578,69,58.95,Two-Year,Basic,Credit Card,0,1,0,39.8,18,5,1,0
CUST-1722,49,55.09,One-Year,Basic,Mailed Check,0,2,0,30.6,28,5,1,0
CUST-1451,2,57.0,Month-to-Month,Standard,Mailed Check,0,0,0,35.7,23,4,0,0
CUST-1799,70,22.59,Two-Year,Basic,Mailed Check,0,5,0,15.4,24,5,1,0
CUST-1973,9,143.88,One-Year,Standard,Electronic Check,0,4,0,32.5,13,3,0,0
CUST-1054,61,57.86,One-Year,Standard,Electronic Check,2,3,0,37.1,25,5,0,0
CUST-1961,55,72.94,Two-Year,Basic,Electronic Check,0,4,0,12.7,2,5,0,0
