customerID,future_12_month_revenue_if_retained
7590-VHVEG,366.95
5575-GNVDE,741.4
3668-QPYBK,680.2
7795-CFOCW,608.67
9237-HQITU,887.43
9305-CDSKC,1250.82
1452-KIOVK,1245.91
6713-OKOMC,377.96
7892-POOKP,1352.85
6388-TABGU,778.72
9763-GRSKD,609.17
7469-LKBCI,232.1
8091-TTVAX,1423.55
0280-XJGEX,1251.85
5129-JLPIS,1299.83
3655-SNQYZ,1681.47
8191-XWSZG,241.7
9959-WOFKT,1623.19
4190-MFLUW,644.71
4183-MYFRB,1084.64
8779-QRDMV,510.46
1680-VDCWW,229.64
1066-JKSGK,225.88
3638-WEABW,786.94
6322-HRPFA,760.47
6865-JZNKO,694.24
6467-CHFZW,1213.48
8665-UTDHZ,369.06
5248-YGIJN,1263.04
8773-HHUOZ,780.38
3841-NFECX,1427.65
4929-XIHVW,1325.26
6827-IEAUQ,883.91
7310-EGVHZ,213.74
3413-BMNZE,565.11
6234-RAAPL,1433.0
6047-YHPVI,894.49
6572-ADKRS,874.42
5380-WJKOV,1286.76
8168-UQWWF,1255.01
8865-TNMNX,647.12
9489-DEDVP,987.24
9867-JCZSP,246.94
4671-VJLCL,1134.75
4080-IIARD,898.63
3714-NTNFO,1087.38
5948-UJZLF,577.16
7760-OYPDY,1078.46
7639-LIAYI,1170.42
2954-PIBKO,843.98
8012-SOUDQ,1188.59
9420-LOJKX,1284.8
6575-SUVOI,855.09
7495-OOKFY,1055.65
4667-QONEA,1084.0
1658-BYGOY,1294.63
8769-KKTPH,1364.87
5067-XJQFU,1526.49
3957-SQXML,318.06
5954-BDFSG,1688.6
0434-CSFON,1271.27
1215-FIGMP,1188.92
0526-SXDJP,562.57
0557-ASKVU,670.48
5698-BQJOH,1247.66
5122-CYFXA,983.78
8627-ZYGSZ,1069.81
3410-YOQBQ,1142.25
3170-NMYVV,264.97
7410-OIEDU,1001.08
2273-QCKXA,610.98
0731-EBJQB,270.86
1891-QRQSA,1701.85
8028-PNXHQ,337.72
5630-AHZIL,699.51
2673-CXQEU,1644.69
6416-JNVRK,718.33
5590-ZSKRV,658.65
0191-ZHSKZ,937.52
3887-PBQAO,279.21
5919-TMRGD,996.74
8108-UXRQN,629.53
9191-MYQKX,1025.0
9919-YLNNG,1336.6
0318-ZOPWS,249.74
4445-ZJNMU,1229.55
4808-YNLEU,852.02
1862-QRWPE,263.21
2796-NNUFI,243.55
3016-KSVCP,423.7
4767-HZZHQ,1068.53
2424-WVHPL,1014.59
7233-PAHHL,1169.42
6067-NGCEU,1487.26
9848-JQJTX,1452.54
8637-XJIVR,947.94
9803-FTJCG,934.31
0278-YXOOG,238.24
3212-KXOCR,271.31
4598-XLKNJ,1261.59
6380-ARCEH,209.7
3679-XASPY,212.73
7123-WQUHX,1296.02
5386-THSLQ,578.78
3192-NQECA,1634.22
6180-YBIQI,297.37
6728-DKUCO,1629.41
9750-BOOHV,398.69
8597-CWYHH,1300.45
2848-YXSMW,249.64
0486-HECZI,1190.94
4549-ZDQYY,797.05
5712-AHQNN,1191.36
4846-WHAFZ,1113.55
5256-SKJGO,764.9
3071-VBYPO,1181.54
9560-BBZXK,425.68
5299-RULOA,1222.83
8402-OOOHJ,273.75
9445-ZUEQE,1168.62
1091-SOZGA,1454.15
2928-HLDBA,220.75
0404-SWRVG,1011.22
6497-TILVL,576.84
7219-TLZHO,239.77
4622-YNKIJ,1463.79
4412-YLTKF,961.43
6734-PSBAW,295.56
3930-ZGWVE,221.75
2639-UGMAZ,743.02
2876-GZYZC,1027.55
6207-WIOLX,734.12
8587-XYZSF,677.06
3091-FYHKI,435.3
2372-HWUHI,507.53
7799-LGRDP,347.25
7850-VWJUU,952.61
3774-VBNXY,256.71
6217-KDYWC,263.45
0390-DCFDQ,839.7
3146-MSEGF,1284.85
4080-OGPJL,945.97
1095-WGNGG,1364.53
2636-SJDOU,1216.33
1131-QQZEB,313.36
5716-EZXZN,1572.33
6837-BJYDQ,215.7
2135-RXIHG,511.43
6440-DKQGE,850.59
3466-BYAVD,880.58
3780-YVMFA,849.22
3874-EQOEP,1227.48
1679-JRFBR,1493.6
9073-ZZIAY,1256.69
3077-RSNTJ,223.31
6551-GNYDG,1011.02
9167-APMXZ,1192.32
2749-CTKAJ,246.91
6371-NZYEG,829.81
7554-NEWDD,326.2
8992-VONJD,665.08
0867-MKZVY,1132.13
4482-EWFMI,936.53
4648-YPBTM,1002.44
2907-ILJBN,253.29
6345-FZOQH,262.34
3376-BMGFE,937.5
5997-OPVFA,1406.68
3445-HXXGF,564.1
1159-WFSGR,223.8
7654-YWJUF,1139.74
1875-QIVME,1297.31
6727-IOTLZ,1121.1
0691-JVSYA,1352.12
5918-VUKWP,249.39
1744-JHKYS,293.23
2656-FMOKZ,965.5
2070-FNEXE,1062.37
5947-SGKCL,1347.27
3712-PKXZA,287.82
6317-YPKDH,370.49
6582-OIVSP,520.09
9367-WXLCH,1015.75
5524-KHNJP,1003.54
1918-ZBFQJ,1015.6
1024-GUALD,308.1
4827-USJHP,649.03
8167-GJLRN,370.59
0956-SYCWG,225.25
8017-UVSZU,640.31
7100-FQPRV,939.93
2472-OVKUP,1205.26
2984-RGEYA,257.83
9680-NIAUV,1540.68
2146-EGVDT,251.44
2604-IJPDU,1326.92
9178-JHUVJ,288.86
6168-YBYNP,1527.77
7255-SSFBC,1686.1
3645-DEYGF,218.57
9323-HGFWY,1468.48
8544-GOQSH,1087.87
3363-DTIVD,1666.47
7018-WBJNK,1068.24
9142-KZXOP,830.83
7674-YTAFD,1057.68
6348-SNFUS,820.65
1285-OKIPP,1040.86
7825-ECJRF,1474.37
1347-KTTTA,1746.83
7841-TZDMQ,567.53
4195-NZGTA,320.08
7157-SMCFK,267.26
4709-LKHYG,247.2
2504-DSHIH,1107.2
0699-NDKJM,784.16
9286-BHDQG,627.65
0230-WEQUW,806.97
2040-LDIWQ,1162.13
6496-JDSSB,1020.22
9408-SSNVZ,994.07
4443-EMBNA,289.83
6469-MRVET,245.09
0742-MOABM,562.99
5961-VUSRV,221.63
6778-JFCMK,699.43
6341-JVQGF,1088.56
2232-DMLXU,626.45
4811-JBUVU,1145.9
0945-TSONX,1235.48
2651-ZCBXV,1589.65
3316-UWXUY,1312.59
8937-RDTHP,1098.47
7083-MIOPC,253.03
1984-GPTEH,317.44
1251-KRREG,673.22
0621-JFHOL,358.04
9903-LYSAB,956.86
0094-OIFMO,1166.65
9227-UAQFT,258.22
7301-ABVAD,1176.44
6614-FHDBO,1626.14
7576-ASEJU,1024.05
9058-HRZSV,1340.97
4522-AKYLR,630.5
0221-WMXNQ,959.82
0303-UNCIP,815.54
9947-OTFQU,932.73
0322-YINQP,646.45
0959-WHOKV,1401.96
4075-JFPGR,1252.46
4629-NRXKX,935.17
9514-JDSKI,533.37
3282-ZISZV,1153.87
3675-YDUPJ,204.92
4111-BNXIF,821.96
7017-VFHAY,1869.76
6655-LHBYW,1608.51
4959-JOSRX,546.86
5046-NUHWD,583.58
7273-TEFQD,470.73
3606-TWKGI,1381.3
7529-ZDFXI,1005.01
7605-BDWDC,662.53
1950-KSVVJ,1583.82
0123-CRBRT,1191.82
6292-TOSSS,347.86
3197-ARFOY,1314.54
6323-AYBRX,244.43
7014-ZZXAW,315.27
4385-GZQXV,1338.53
7633-MVPUY,800.19
6366-ZGQGL,314.78
4716-HHKQH,1415.84
5940-AHUHD,852.67
6432-TWQLB,1131.9
4484-GLZOU,1416.25
3179-GBRWV,786.55
8645-KWHJO,689.06
4130-MZLCC,594.68
0314-TKOSI,678.6
8229-MYEJZ,634.49
2080-SRCDE,306.27
9577-WJVCQ,656.86
9512-UIBFX,1364.66
6202-DYYFX,933.26
3808-HFKDE,538.72
5583-SXDAG,915.21
3488-PGMQJ,959.5
3580-REOAC,521.23
7534-BFESC,975.99
3727-OWVYD,782.5
2294-SALNE,1169.29
4847-TAJYI,1183.02
1563-IWQEX,224.02
8203-XJZRC,218.4
6556-DBKZF,1166.92
6851-WEFYX,1326.44
2985-JUUBZ,949.58
6390-DSAZX,983.49
0895-LMRSF,799.52
8098-LLAZX,1178.34
8266-VBFQL,1214.87
8181-YHCMF,878.99
2240-HSJQD,1059.67
1248-DYXUB,322.2
0265-EDXBD,1032.72
4115-BNPJY,1006.86
3167-SNQPL,1346.76
4091-TVOCN,1021.9
1098-TDVUQ,212.72
7277-OZCGZ,1266.68
1557-EMYVT,1776.84
2799-ARNLO,916.63
7563-BIUPC,1090.5
5027-YOCXN,1606.49
3973-SKMLN,265.8
2321-OMBXY,1057.05
2840-XANRC,1226.79
6745-JEFZB,1201.69
5020-ZSTTY,1141.04
9880-TDQAC,873.97
8705-WZCYL,515.4
7102-JJVTX,689.68
8626-PTQGE,822.83
4983-CLMLV,1313.45
5701-YVSVF,1136.14
5804-LEPIM,928.87
5697-GOMBF,453.13
2739-CACDQ,1104.8
9385-EHGDO,248.77
9498-FIMXL,215.12
2379-GYFLQ,1296.29
0122-OAHPZ,906.2
2868-SNELZ,1073.6
4322-RCYMT,1015.95
6680-NENYN,1429.63
2088-IEBAU,1251.41
7982-VCELR,1253.97
1343-EHPYB,1341.36
6035-BXTTY,654.24
6885-PKOAM,1252.29
7520-HQWJU,877.99
9639-BUJXT,246.34
5924-SNGKP,236.68
0021-IKXGC,926.35
2034-GDRCN,1065.02
8966-SNIZF,233.54
6243-OZGFH,530.42
4654-DLAMQ,1371.97
0513-RBGPE,893.37
5160-UXJED,615.48
4115-NZRKS,1180.83
0219-YTZUE,1068.41
0623-IIHUG,522.62
4572-DVCGN,968.15
3351-NGXYI,674.8
8984-EYLLL,1553.61
9057-MSWCO,390.1
9833-TGFHX,1292.02
9294-TDIPC,231.53
5229-DTFYB,1546.76
0104-PPXDV,662.23
5176-LMJXE,262.87
3583-KRKMD,1037.96
1010-DIAUQ,1201.04
9069-LGEUL,756.85
7302-ZHMHP,214.08
9571-EDEBV,1389.45
3520-FJGCV,1653.69
6563-VRERX,246.88
0259-GBZSH,1114.91
6122-EFVKN,537.12
2805-EDJPQ,1494.48
6862-CQUMB,1379.54
7156-MXBJE,1072.78
6158-HDPXZ,317.34
9601-BRXPO,1400.07
2863-IMQDR,1435.11
5686-CMAWK,1155.44
5651-CRHKQ,1146.23
6905-NIQIN,589.35
8204-YJCLA,835.66
5167-ZFFMM,1123.54
6583-SZVGP,1482.58
4895-TMWIR,224.56
0533-BNWKF,1160.15
1708-PBBOA,800.75
8782-LKFPK,1227.26
5522-JBWMO,512.56
3597-MVHJT,1183.32
9774-NRNAU,1084.75
0224-RLWWD,496.31
9967-ATRFS,247.63
3951-NJCVI,1304.49
2977-CEBSX,1268.78
0177-PXBAT,1354.92
6599-CEBNN,1023.27
2519-ERQOJ,677.77
5876-QMYLD,254.85
2277-AXSDC,217.56
9442-JTWDL,228.15
0979-PHULV,1327.89
3067-SVMTC,771.68
5495-GPSRW,241.48
7606-BPHHN,263.71
4742-DRORA,1291.09
0111-KLBQG,1208.92
4800-VHZKI,223.66
7989-CHGTL,224.6
0334-GDDSO,1069.97
4163-NCJAK,276.21
5233-AOZUF,896.84
5973-EJGDP,1265.32
1996-DBMUS,930.84
7916-VCCPB,913.79
4686-GEFRM,1592.92
5249-QYHEX,312.79
0578-SKVMF,1143.22
5564-NEMQO,959.6
2233-FAGXV,299.45
5605-IYGFG,965.01
7663-ZTEGJ,1378.28
3935-TBRZZ,322.57
8111-BKVDS,514.04
2055-SIFSS,695.72
2806-MLNTI,1402.04
8734-DKSTZ,1129.08
4360-PNRQB,1031.63
6152-ONASV,731.69
9063-ZGTUY,214.32
7781-HVGMK,844.8
2181-UAESM,645.16
2957-LOLHO,564.12
6048-NJXHX,266.27
2320-SLKMB,557.01
4980-URKXC,269.9
4376-KFVRS,1622.1
5886-VLQVU,1086.59
3577-AMVUX,671.67
0771-WLCLA,1552.22
5628-RKIFK,1380.42
0206-TBWLC,1499.06
2937-FTHUR,805.41
1910-FMXJM,974.02
7752-XUSCI,1460.97
4110-PFEUZ,899.53
0732-OCQOC,308.35
5168-MSWXT,1172.48
1090-ESELR,1526.36
8592-PLTMQ,303.57
5760-WRAHC,930.65
8847-GEOOQ,735.98
0256-LTHVJ,1076.88
4785-FCIFB,306.8
8313-NDOIA,1296.27
5149-CUZUJ,1282.57
0942-KOWSM,1052.21
4237-CLSMM,217.25
1452-VOQCH,896.7
4719-UMSIY,241.1
6614-VBEGU,851.57
0880-TKATG,1239.74
3811-VBYBZ,1281.1
1480-BKXGA,1762.93
2996-XAUVF,560.26
9076-AXYIK,1576.15
5968-XQIVE,1304.88
8896-RAZCR,242.93
4640-UHDOS,665.11
4933-IKULF,243.78
3583-EKAPL,583.8
1304-BCCFO,776.61
4104-PVRPS,729.22
9399-APLBT,1026.78
2359-KMGLI,1027.09
3780-DDGSE,976.84
4431-EDMIQ,959.42
0306-JAELE,1436.61
6227-HWPWX,944.3
0486-LGCCH,239.94
0447-BEMNG,538.54
4612-SSVHJ,970.8
5168-MQQCA,1566.96
5949-XIKAE,1021.02
7971-HLVXI,1152.54
9094-AZPHK,1255.98
3649-JPUGY,1185.5
4472-LVYGI,782.25
8372-JUXUI,985.93
3552-CTCYF,1538.24
6778-YSNIH,760.09
0388-EOPEX,967.57
5756-OZRIO,811.35
6579-JPICP,245.27
8205-OTCHB,577.43
4134-BSXLX,735.31
0505-SPOOW,253.31
6235-VDHOM,326.32
7783-YKGDV,1202.29
4374-YMUSQ,1722.06
4513-CXYIX,1324.07
3957-HHLMR,818.79
7803-XOCCZ,1200.15
5736-YEJAX,1109.03
5609-CEBID,1189.83
8981-FJGLA,961.32
7218-HKQFK,1167.63
4636-QRJKY,1045.39
1135-LMECX,212.55
4332-MUOEZ,1353.13
8535-SFUTN,1445.76
5956-VKDTT,933.02
8677-HDZEE,1370.63
2475-MROZF,1244.0
9412-GHEEC,1437.7
3482-ABPKK,744.24
6705-LXORM,846.2
0257-ZESQC,999.02
7531-GQHME,232.41
5174-ITUMV,1354.0
4109-CYRBD,648.74
0913-XWSCN,1103.51
6825-UYPFK,1007.73
8397-MVTAZ,1247.16
0750-EBAIU,1186.83
8606-CIQUL,1624.4
3571-DPYUH,1357.14
7601-GNDYK,248.98
0356-OBMAC,1428.58
8067-NIOYM,273.04
1403-GYAFU,237.46
4234-XTNEA,1012.07
1297-VQDRP,1439.12
9282-IZGQK,1044.38
5348-CAGXB,1140.05
0621-HJWXJ,1041.76
5844-QVTAT,751.49
8905-IAZPF,1408.11
5394-MEITZ,1107.22
6859-QNXIQ,1800.01
2782-LFZVW,667.18
2866-IKBTM,224.2
1342-JPNKI,1171.68
2817-NTQDO,508.37
7129-AZJDE,1031.54
6986-IJDHX,1150.72
2560-PPCHE,1486.61
4676-MQUEA,1483.85
8138-EALND,218.35
3580-HYCSP,1659.15
1352-HNSAW,1752.26
2075-PUEPR,264.52
1982-FEBTD,325.11
5301-GAUUY,1058.91
5791-KAJFD,909.17
2654-VBVPB,216.9
1154-HYWWO,923.59
2501-XWWTZ,909.18
3716-UVSPD,590.49
6815-ABQFQ,1555.52
7343-EOBEU,291.02
3701-SFMUH,889.93
6103-LIANB,1437.21
7319-VENRZ,833.97
5846-NEQVZ,1001.38
6967-QIQRV,1295.66
5781-RFZRP,1007.02
0939-YAPAF,1177.71
0308-IVGOK,509.89
7293-LSCDV,248.87
7025-WCBNE,887.11
5756-JYOJT,847.39
4710-FDUIZ,1390.43
6030-REHUX,1526.12
9548-LIGTA,1040.12
5150-LJNSR,1376.98
8270-RKSAP,929.92
6522-YRBXD,1157.47
2640-LYMOV,232.08
1218-VKFPE,215.86
3627-FHKBK,955.24
2865-TCHJW,1168.76
1423-BMPBQ,236.37
2393-DIVAI,225.47
5192-EBGOV,1101.97
4568-KNYWR,874.14
8752-IMQOS,225.77
0742-LAFQK,1546.66
0795-LAFGP,1248.48
0619-OLYUR,1715.6
5512-IDZEI,290.93
0459-SPZHJ,1209.42
0215-BQKGS,1132.97
9244-ZVAPM,575.36
0719-SYFRB,749.76
8208-EUMTE,757.97
5172-MIGPM,762.76
1710-RCXUS,1238.24
0374-FIUCA,268.46
5839-SUYVZ,1022.79
5173-ZXXXL,223.23
1096-ADRUX,1085.96
2001-MCUUW,1686.98
2731-GJRDG,1583.04
4723-BEGSG,1367.52
6516-NKQBO,1090.74
8672-OAUPW,605.88
8207-DMRVL,1594.33
3419-SNJJD,1540.26
6543-CPZMK,371.01
4765-OXPPD,808.93
2804-ETQDK,269.14
6689-VRRTK,1438.28
7138-GIRSH,1103.32
9396-ZSFLL,601.79
6464-KEXXH,304.54
7134-MJPDY,1523.76
5240-CAOYT,1245.15
4059-IIEBK,1008.82
4881-JVQOD,398.05
0516-UXRMT,1347.02
4851-BQDNX,1266.27
5148-HKFIR,263.66
1009-IRMNA,241.24
3003-CMDUU,1225.66
5016-IBERQ,1037.85
6797-UCJHZ,1456.88
2469-DTSGX,1676.88
4554-YGZIH,1267.82
5099-BAILX,1340.14
9931-KGHOA,739.18
1775-KWJKQ,1286.13
7665-VIGUD,233.62
9411-TPQQV,692.49
7207-RMRDB,1291.77
7954-MLBUN,1505.63
2077-DDHJK,1026.71
4913-EHYUI,1398.3
0195-IESCP,1012.63
9574-BOSMD,322.56
4580-TMHJU,744.63
0970-ETWGE,1122.59
4908-XAXAY,1164.71
8404-VLQFB,284.31
1626-ERCMM,1208.66
0887-HJGAR,474.26
2391-IPLOP,937.88
5644-PDMZC,1123.6
3509-GWQGF,938.78
9576-ANLXO,965.0
2024-BASKD,1000.85
5845-BZZIB,248.67
1140-UKVZG,267.08
4160-AMJTL,247.78
5183-SNMJQ,1235.65
8100-PNJMH,1282.84
