actual,predicted,similarity,image
Layan,Layan,0.9229135513305664,dataset\Layan\image_001.jpg
Layan,Layan,0.9195554256439209,dataset\Layan\image_002.jpg
Layan,Layan,0.9424859881401062,dataset\Layan\image_003.jpg
Layan,Layan,0.9067714214324951,dataset\Layan\image_004.jpg
Layan,Layan,0.8832775354385376,dataset\Layan\image_005.jpg
Layan,Layan,0.9252404570579529,dataset\Layan\image_006.jpg
Layan,Layan,0.9418706297874451,dataset\Layan\image_007.jpg
Lujain,Lujain,0.8016756772994995,dataset\Lujain\image_001.jpg
Lujain,Lujain,0.8704941868782043,dataset\Lujain\image_002.jpg
Lujain,Lujain,0.7974915504455566,dataset\Lujain\image_003.jpg
Lujain,Lujain,0.7986222505569458,dataset\Lujain\image_004.jpg
Lujain,Lujain,0.8904505372047424,dataset\Lujain\image_005.jpg
Lujain,Lujain,0.8722379207611084,dataset\Lujain\image_006.jpg
Lujain,Lujain,0.8553172945976257,dataset\Lujain\image_007.jpg
Lujain,Lujain,0.669802725315094,dataset\Lujain\image_008.jpg
Lujain,Lujain,0.8306981325149536,dataset\Lujain\image_009.jpg
Lujain,Lujain,0.8640181422233582,dataset\Lujain\image_010.jpg
Lujain,Lujain,0.9004309177398682,dataset\Lujain\image_011.jpg
Nouf,Nouf,0.7928196787834167,dataset\Nouf\IMG_8464.png
Nouf,Nouf,0.9003278017044067,dataset\Nouf\IMG_8465.png
Nouf,Nouf,0.835684061050415,dataset\Nouf\IMG_8466.png
Nouf,Nouf,0.8678038716316223,dataset\Nouf\IMG_8468.png
Nouf,Nouf,0.8026121258735657,dataset\Nouf\IMG_8469.png
Nouf,Nouf,0.8552268147468567,dataset\Nouf\IMG_8470.png
Nouf,Nouf,0.8486627340316772,dataset\Nouf\IMG_8471.png
Yara,Yara,0.8631254434585571,dataset\Yara\IMG_8473.jpeg
Yara,Yara,0.8697257041931152,dataset\Yara\IMG_8474.jpeg
Yara,Yara,0.9071959853172302,dataset\Yara\IMG_8475.jpeg
Yara,Yara,0.8989545106887817,dataset\Yara\IMG_8476.jpeg
Yara,Yara,0.8704939484596252,dataset\Yara\IMG_8477.jpeg
