customerID,churn_probability,predicted_future_12_month_revenue,revenue_at_risk,priority_rank,retention_segment,recommended_action
9851-KIELU,0.8436,1500.8,1266.07,1,Critical Priority,Immediate personal call from customer-success team
1583-IHQZE,0.8436,1492.3,1258.9,2,Critical Priority,Immediate personal call from customer-success team
3292-PBZEJ,0.8436,1472.0,1241.78,3,Critical Priority,Immediate personal call from customer-success team
7181-BQYBV,0.9422,1306.8,1231.27,4,Critical Priority,Immediate personal call from customer-success team
3992-YWPKO,0.8436,1453.38,1226.07,5,Critical Priority,Immediate personal call from customer-success team
5419-JPRRN,0.9422,1274.31,1200.65,6,Critical Priority,Immediate personal call from customer-success team
3178-FESZO,0.9422,1269.76,1196.37,7,Critical Priority,Immediate personal call from customer-success team
0107-YHINA,0.9422,1266.34,1193.15,8,Critical Priority,Immediate personal call from customer-success team
7216-EWTRS,0.9422,1262.3,1189.34,9,Critical Priority,Immediate personal call from customer-success team
0295-PPHDO,0.9422,1244.37,1172.45,10,Critical Priority,Immediate personal call from customer-success team
2081-VEYEH,0.8436,1388.26,1171.14,11,Critical Priority,Immediate personal call from customer-success team
5760-IFJOZ,0.8436,1387.05,1170.12,12,Critical Priority,Immediate personal call from customer-success team
6857-VWJDT,0.9422,1240.28,1168.59,13,Critical Priority,Immediate personal call from customer-success team
5178-LMXOP,0.9422,1236.82,1165.33,14,Critical Priority,Immediate personal call from customer-success team
6356-ELRKD,0.9422,1235.02,1163.64,15,Critical Priority,Immediate personal call from customer-success team
1393-IMKZG,0.9422,1233.61,1162.31,16,Critical Priority,Immediate personal call from customer-success team
5293-WXJAK,0.8436,1370.59,1156.23,17,Critical Priority,Immediate personal call from customer-success team
3606-TWKGI,0.8436,1369.05,1154.93,18,Critical Priority,Immediate personal call from customer-success team
2027-FECZV,0.8436,1361.76,1148.78,19,Critical Priority,Immediate personal call from customer-success team
1400-MMYXY,0.8436,1349.32,1138.29,20,Critical Priority,Immediate personal call from customer-success team
0684-AOSIH,0.9422,1206.92,1137.16,21,Critical Priority,Immediate personal call from customer-success team
6688-UZPWD,0.8436,1344.73,1134.41,22,Critical Priority,Immediate personal call from customer-success team
8118-TJAFG,0.8436,1341.02,1131.28,23,Critical Priority,Immediate personal call from customer-success team
4910-GMJOT,0.9422,1198.39,1129.12,24,"High Risk, Lower Value",Automated retention campaign or targeted offer
8149-RSOUN,0.9422,1194.02,1125.01,25,"High Risk, Lower Value",Automated retention campaign or targeted offer
9659-QEQSY,0.7294,1539.88,1123.19,26,Critical Priority,Immediate personal call from customer-success team
9079-YEXQJ,0.7294,1536.23,1120.53,27,Critical Priority,Immediate personal call from customer-success team
3389-YGYAI,0.8436,1328.26,1120.52,28,Critical Priority,Immediate personal call from customer-success team
1875-QIVME,0.8436,1327.08,1119.52,29,Critical Priority,Immediate personal call from customer-success team
7089-IVVAZ,0.8436,1326.59,1119.11,30,Critical Priority,Immediate personal call from customer-success team
3186-BAXNB,0.9422,1187.71,1119.06,31,"High Risk, Lower Value",Automated retention campaign or targeted offer
6521-YYTYI,0.9422,1187.67,1119.02,32,"High Risk, Lower Value",Automated retention campaign or targeted offer
5052-PNLOS,0.8436,1324.34,1117.21,33,Critical Priority,Immediate personal call from customer-success team
9497-QCMMS,0.9422,1182.79,1114.42,34,"High Risk, Lower Value",Automated retention campaign or targeted offer
1465-VINDH,0.8436,1320.88,1114.29,35,Critical Priority,Immediate personal call from customer-success team
7145-FEJWU,0.8436,1320.75,1114.18,36,Critical Priority,Immediate personal call from customer-success team
2018-PZKMU,0.8436,1320.62,1114.08,37,Critical Priority,Immediate personal call from customer-success team
9300-AGZNL,0.9422,1181.05,1112.79,38,"High Risk, Lower Value",Automated retention campaign or targeted offer
2067-QYTCF,0.7294,1525.42,1112.64,39,Critical Priority,Immediate personal call from customer-success team
4315-MURBD,0.8436,1318.5,1112.29,40,Critical Priority,Immediate personal call from customer-success team
4587-VVTOX,0.8436,1317.39,1111.35,41,Critical Priority,Immediate personal call from customer-success team
8884-ADFVN,0.8436,1315.57,1109.81,42,Critical Priority,Immediate personal call from customer-success team
2302-ANTDP,0.7294,1520.9,1109.34,43,Critical Priority,Immediate personal call from customer-success team
7294-TMAOP,0.9422,1177.2,1109.16,44,"High Risk, Lower Value",Automated retention campaign or targeted offer
6168-YBYNP,0.7294,1520.17,1108.81,45,Critical Priority,Immediate personal call from customer-success team
3988-RQIXO,0.9422,1176.81,1108.79,46,"High Risk, Lower Value",Automated retention campaign or targeted offer
5797-APWZC,0.9422,1176.8,1108.78,47,"High Risk, Lower Value",Automated retention campaign or targeted offer
0771-WLCLA,0.7294,1519.79,1108.53,48,Critical Priority,Immediate personal call from customer-success team
7279-BUYWN,0.7294,1518.33,1107.47,49,Critical Priority,Immediate personal call from customer-success team
9889-TMAHG,0.8436,1311.97,1106.78,50,Critical Priority,Immediate personal call from customer-success team
0871-URUWO,0.8436,1310.28,1105.35,51,Critical Priority,Immediate personal call from customer-success team
8016-NCFVO,0.7294,1515.2,1105.19,52,Critical Priority,Immediate personal call from customer-success team
7274-RTAPZ,0.9422,1171.98,1104.24,53,"High Risk, Lower Value",Automated retention campaign or targeted offer
2587-EKXTS,0.7294,1513.79,1104.16,54,Critical Priority,Immediate personal call from customer-success team
8443-WVPSS,0.8436,1308.53,1103.88,55,Critical Priority,Immediate personal call from customer-success team
3440-JPSCL,0.8436,1308.3,1103.68,56,Critical Priority,Immediate personal call from customer-success team
9725-SCPZG,0.9422,1171.24,1103.54,57,"High Risk, Lower Value",Automated retention campaign or targeted offer
6710-HSJRD,0.7294,1512.72,1103.38,58,Critical Priority,Immediate personal call from customer-success team
5923-GXUOC,0.8436,1307.83,1103.29,59,Critical Priority,Immediate personal call from customer-success team
3336-JORSO,0.7294,1512.51,1103.22,60,Critical Priority,Immediate personal call from customer-success team
9223-UCPVT,0.9422,1169.3,1101.71,61,"High Risk, Lower Value",Automated retention campaign or targeted offer
2725-KXXWT,0.9422,1167.85,1100.35,62,"High Risk, Lower Value",Automated retention campaign or targeted offer
1320-REHCS,0.7294,1508.13,1100.03,63,Critical Priority,Immediate personal call from customer-success team
0722-SVSFK,0.8436,1303.61,1099.73,64,Critical Priority,Immediate personal call from customer-success team
7379-FNIUJ,0.8436,1303.54,1099.67,65,Critical Priority,Immediate personal call from customer-success team
6030-REHUX,0.7294,1505.21,1097.9,66,Critical Priority,Immediate personal call from customer-success team
6734-GMPVK,0.8436,1299.9,1096.6,67,Critical Priority,Immediate personal call from customer-success team
7576-JMYWV,0.7294,1502.0,1095.56,68,Critical Priority,Immediate personal call from customer-success team
9547-ITEFG,0.8436,1298.63,1095.52,69,Critical Priority,Immediate personal call from customer-success team
4236-XPXAV,0.8436,1298.43,1095.36,70,Critical Priority,Immediate personal call from customer-success team
6956-SMUCM,0.8436,1297.31,1094.41,71,Critical Priority,Immediate personal call from customer-success team
2369-UAPKZ,0.8436,1297.19,1094.31,72,Critical Priority,Immediate personal call from customer-success team
0702-PGIBZ,0.8436,1295.61,1092.98,73,Critical Priority,Immediate personal call from customer-success team
2027-WKXMW,0.7294,1498.04,1092.67,74,Critical Priority,Immediate personal call from customer-success team
9278-VZKCD,0.7294,1497.3,1092.13,75,Critical Priority,Immediate personal call from customer-success team
1415-YFWLT,0.9422,1159.0,1092.01,76,"High Risk, Lower Value",Automated retention campaign or targeted offer
8775-LHDJH,0.9422,1157.38,1090.48,77,"High Risk, Lower Value",Automated retention campaign or targeted offer
5167-ZFFMM,0.9422,1157.16,1090.28,78,"High Risk, Lower Value",Automated retention campaign or targeted offer
4273-MBHYA,0.9422,1156.51,1089.66,79,"High Risk, Lower Value",Automated retention campaign or targeted offer
5299-SJCZT,0.8436,1290.65,1088.79,80,Critical Priority,Immediate personal call from customer-success team
6496-SLWHQ,0.8436,1290.12,1088.35,81,Critical Priority,Immediate personal call from customer-success team
5419-CONWX,0.8436,1289.73,1088.02,82,Critical Priority,Immediate personal call from customer-success team
7938-OUHIO,0.8436,1288.77,1087.21,83,Critical Priority,Immediate personal call from customer-success team
0115-TFERT,0.7294,1485.69,1083.66,84,Critical Priority,Immediate personal call from customer-success team
0302-JOIVN,0.8436,1283.88,1083.08,85,Critical Priority,Immediate personal call from customer-success team
9330-IJWIO,0.8436,1282.57,1081.98,86,Critical Priority,Immediate personal call from customer-success team
3027-ZTDHO,0.9422,1147.83,1081.49,87,"High Risk, Lower Value",Automated retention campaign or targeted offer
1941-HOSAM,0.9422,1147.58,1081.25,88,"High Risk, Lower Value",Automated retention campaign or targeted offer
1571-SAVHK,0.8436,1280.05,1079.85,89,Critical Priority,Immediate personal call from customer-success team
2025-JKFWI,0.8436,1279.21,1079.14,90,Critical Priority,Immediate personal call from customer-success team
0970-ETWGE,0.9422,1143.65,1077.55,91,"High Risk, Lower Value",Automated retention campaign or targeted offer
8510-AWCXC,0.8436,1276.95,1077.24,92,Critical Priority,Immediate personal call from customer-success team
3801-HMYNL,0.9422,1142.94,1076.88,93,"High Risk, Lower Value",Automated retention campaign or targeted offer
7315-WYOAW,0.8436,1276.28,1076.67,94,Critical Priority,Immediate personal call from customer-success team
6645-MXQJT,0.8436,1273.11,1074.0,95,Critical Priority,Immediate personal call from customer-success team
7783-YKGDV,0.8436,1272.67,1073.62,96,Critical Priority,Immediate personal call from customer-success team
3068-OMWZA,0.9422,1139.2,1073.35,97,"High Risk, Lower Value",Automated retention campaign or targeted offer
5299-RULOA,0.8436,1271.98,1073.04,98,Critical Priority,Immediate personal call from customer-success team
2265-CYWIV,0.8436,1271.35,1072.51,99,Critical Priority,Immediate personal call from customer-success team
2012-NWRPA,0.8436,1271.21,1072.39,100,Critical Priority,Immediate personal call from customer-success team
7577-SWIFR,0.9422,1137.82,1072.05,101,"High Risk, Lower Value",Automated retention campaign or targeted offer
3902-FOIGH,0.8436,1270.48,1071.78,102,Critical Priority,Immediate personal call from customer-success team
7426-RHZGU,0.8436,1270.35,1071.67,103,Critical Priority,Immediate personal call from customer-success team
2612-RANWT,0.8436,1269.96,1071.34,104,Critical Priority,Immediate personal call from customer-success team
2754-SDJRD,0.8436,1269.0,1070.53,105,Critical Priority,Immediate personal call from customer-success team
2968-SSGAA,0.8436,1268.93,1070.47,106,Critical Priority,Immediate personal call from customer-success team
4078-SAYYN,0.8436,1267.94,1069.63,107,Critical Priority,Immediate personal call from customer-success team
4132-KALRO,0.8436,1266.41,1068.34,108,Critical Priority,Immediate personal call from customer-success team
0329-GTIAJ,0.8436,1265.71,1067.75,109,Critical Priority,Immediate personal call from customer-success team
2656-TABEH,0.8436,1265.6,1067.66,110,Critical Priority,Immediate personal call from customer-success team
3644-QXEHN,0.8436,1265.17,1067.3,111,Critical Priority,Immediate personal call from customer-success team
